customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,MonthlyCharges,TotalCharges,spend_bucket,Churn
5630-AHZIL,FEMALE,0,NO,YES,3,0-1 year,64.5,177.4,Medium,NO
2673-CXQEU,FEMALE,1,NO,NO,56,3+ years,110.5,6139.5,High,NO
6416-JNVRK,FEMALE,0,NO,NO,46,3+ years,55.65,2688.85,Medium,NO
5590-ZSKRV,FEMALE,0,YES,YES,8,0-1 year,54.65,482.25,Medium,NO
0191-ZHSKZ,MALE,1,NO,NO,30,1-3 years,74.75,2111.3,High,NO
3887-PBQAO,FEMALE,0,YES,YES,45,3+ years,25.9,1216.6,Low,NO
5919-TMRGD,FEMALE,0,NO,YES,1,0-1 year,79.35,79.35,High,YES
8108-UXRQN,FEMALE,0,YES,YES,11,0-1 year,50.55,565.35,Medium,NO
9191-MYQKX,FEMALE,0,YES,NO,7,0-1 year,75.15,496.9,High,YES
9919-YLNNG,FEMALE,0,NO,NO,42,3+ years,103.8,4327.5,High,NO
0318-ZOPWS,FEMALE,0,YES,NO,49,3+ years,20.15,973.35,Low,NO
4445-ZJNMU,MALE,0,NO,NO,9,0-1 year,99.3,918.75,High,NO
4808-YNLEU,FEMALE,0,YES,NO,35,1-3 years,62.15,2215.45,Medium,NO
1862-QRWPE,FEMALE,0,YES,YES,48,3+ years,20.65,1057.0,Low,NO
2796-NNUFI,FEMALE,0,YES,YES,46,3+ years,19.95,927.1,Low,NO
3016-KSVCP,MALE,0,YES,NO,29,1-3 years,33.75,1009.25,Medium,NO
4767-HZZHQ,MALE,0,YES,YES,30,1-3 years,82.05,2570.2,High,NO
2424-WVHPL,MALE,1,NO,NO,1,0-1 year,74.7,74.7,High,NO
7233-PAHHL,MALE,0,YES,YES,66,3+ years,84.0,5714.25,High,NO
6067-NGCEU,FEMALE,0,NO,NO,65,3+ years,111.05,7107.0,High,NO
9848-JQJTX,MALE,0,NO,NO,72,3+ years,100.9,7459.05,High,NO
8637-XJIVR,FEMALE,0,NO,NO,12,1-3 years,78.95,927.35,High,YES
9803-FTJCG,MALE,0,YES,YES,71,3+ years,66.85,4748.7,Medium,NO
0278-YXOOG,MALE,0,NO,NO,5,0-1 year,21.05,113.85,Low,YES
3212-KXOCR,MALE,0,NO,NO,52,3+ years,21.0,1107.2,Low,NO
4598-XLKNJ,FEMALE,1,YES,NO,25,1-3 years,98.5,2514.5,High,YES
6380-ARCEH,MALE,0,NO,NO,1,0-1 year,20.2,20.2,Low,NO
3679-XASPY,FEMALE,0,YES,YES,1,0-1 year,19.45,19.45,Low,NO
7123-WQUHX,MALE,0,NO,NO,38,3+ years,95.0,3605.6,High,NO
5386-THSLQ,FEMALE,1,YES,NO,66,3+ years,45.55,3027.25,Medium,NO
3192-NQECA,MALE,0,YES,NO,68,3+ years,110.0,7611.85,High,YES
6180-YBIQI,MALE,0,NO,NO,5,0-1 year,24.3,100.2,Low,NO
6728-DKUCO,FEMALE,0,YES,YES,72,3+ years,104.15,7303.05,High,NO
9750-BOOHV,FEMALE,0,NO,NO,32,1-3 years,30.15,927.65,Medium,NO
8597-CWYHH,MALE,0,NO,NO,43,3+ years,94.35,3921.3,High,NO
2848-YXSMW,MALE,0,YES,YES,72,3+ years,19.4,1363.25,Low,NO
0486-HECZI,MALE,0,YES,NO,55,3+ years,96.75,5238.9,High,YES
4549-ZDQYY,FEMALE,0,NO,NO,52,3+ years,57.95,3042.25,Medium,NO
5712-AHQNN,FEMALE,0,NO,NO,43,3+ years,91.65,3954.1,High,NO
4846-WHAFZ,FEMALE,1,YES,NO,37,3+ years,76.5,2868.15,High,YES
5256-SKJGO,FEMALE,0,YES,YES,64,3+ years,54.6,3423.5,Medium,NO
3071-VBYPO,MALE,0,YES,YES,3,0-1 year,89.85,248.4,High,NO
9560-BBZXK,FEMALE,0,NO,NO,36,1-3 years,31.05,1126.35,Medium,NO
5299-RULOA,FEMALE,0,YES,YES,10,0-1 year,100.25,1064.65,High,YES
8402-OOOHJ,FEMALE,0,NO,NO,41,3+ years,20.65,835.15,Low,NO
9445-ZUEQE,MALE,0,YES,YES,27,1-3 years,85.2,2151.6,High,NO
1091-SOZGA,FEMALE,0,YES,YES,56,3+ years,99.8,5515.45,High,NO
2928-HLDBA,FEMALE,0,NO,NO,6,0-1 year,20.7,112.75,Low,NO
0404-SWRVG,MALE,0,NO,NO,3,0-1 year,74.4,229.55,High,YES
6497-TILVL,FEMALE,0,YES,YES,7,0-1 year,50.7,350.35,Medium,NO
7219-TLZHO,FEMALE,0,YES,YES,4,0-1 year,20.85,62.9,Low,NO
4622-YNKIJ,MALE,0,NO,NO,33,1-3 years,88.95,3027.65,High,NO
4412-YLTKF,FEMALE,1,NO,NO,27,1-3 years,78.05,2135.5,High,YES
6734-PSBAW,MALE,0,YES,NO,72,3+ years,23.55,1723.95,Low,NO
3930-ZGWVE,MALE,0,NO,NO,1,0-1 year,19.75,19.75,Low,NO
2639-UGMAZ,MALE,1,NO,NO,71,3+ years,56.45,3985.35,Medium,NO
2876-GZYZC,FEMALE,0,NO,NO,13,1-3 years,85.95,1215.65,High,NO
6207-WIOLX,FEMALE,0,YES,YES,25,1-3 years,58.6,1502.65,Medium,YES
8587-XYZSF,MALE,0,NO,NO,67,3+ years,50.55,3260.1,Medium,NO
3091-FYHKI,MALE,0,NO,NO,1,0-1 year,35.45,35.45,Medium,YES
2372-HWUHI,MALE,0,NO,NO,2,0-1 year,44.35,81.25,Medium,YES
7799-LGRDP,FEMALE,0,NO,NO,43,3+ years,25.7,1188.2,Low,NO
7850-VWJUU,FEMALE,0,NO,NO,23,1-3 years,75.0,1778.5,High,NO
3774-VBNXY,FEMALE,0,YES,YES,64,3+ years,20.2,1277.75,Low,NO
6217-KDYWC,MALE,0,NO,YES,57,3+ years,19.6,1170.55,Low,NO
0390-DCFDQ,FEMALE,1,YES,NO,1,0-1 year,70.45,70.45,High,YES
3146-MSEGF,FEMALE,1,YES,YES,72,3+ years,88.05,6425.65,High,NO
4080-OGPJL,FEMALE,0,NO,NO,8,0-1 year,71.15,563.65,High,YES
1095-WGNGG,FEMALE,0,YES,NO,61,3+ years,101.05,5971.25,High,NO
2636-SJDOU,MALE,0,NO,NO,64,3+ years,84.3,5289.05,High,NO
1131-QQZEB,MALE,1,YES,NO,71,3+ years,23.95,1756.2,Low,NO
5716-EZXZN,FEMALE,0,YES,YES,65,3+ years,99.05,6416.7,High,NO
6837-BJYDQ,MALE,0,NO,NO,3,0-1 year,19.6,61.35,Low,NO
2135-RXIHG,MALE,0,NO,NO,1,0-1 year,45.65,45.65,Medium,YES
6440-DKQGE,MALE,0,NO,YES,30,1-3 years,64.5,1929.95,Medium,NO
3466-BYAVD,MALE,0,YES,YES,15,1-3 years,69.5,1071.4,Medium,NO
3780-YVMFA,FEMALE,0,YES,YES,8,0-1 year,68.55,564.35,Medium,NO
3874-EQOEP,MALE,0,NO,NO,7,0-1 year,95.0,655.5,High,YES
1679-JRFBR,FEMALE,0,YES,YES,70,3+ years,108.15,7930.55,High,NO
9073-ZZIAY,MALE,0,YES,YES,62,3+ years,86.1,5215.25,High,NO
3077-RSNTJ,FEMALE,0,YES,YES,6,0-1 year,19.7,113.5,Low,NO
6551-GNYDG,FEMALE,0,YES,YES,14,1-3 years,80.9,1152.8,High,NO
9167-APMXZ,FEMALE,0,NO,NO,22,1-3 years,84.15,1821.95,High,NO
2749-CTKAJ,MALE,0,YES,YES,22,1-3 years,20.15,419.9,Low,NO
6371-NZYEG,MALE,0,YES,YES,16,1-3 years,64.25,1024.0,Medium,NO
7554-NEWDD,MALE,0,NO,NO,10,0-1 year,25.7,251.6,Low,NO
8992-VONJD,FEMALE,0,NO,YES,13,1-3 years,56.0,764.55,Medium,NO
0867-MKZVY,FEMALE,0,YES,NO,20,1-3 years,82.4,1592.35,High,YES
4482-EWFMI,FEMALE,0,NO,NO,2,0-1 year,69.7,135.2,Medium,NO
4648-YPBTM,MALE,0,NO,NO,53,3+ years,73.9,3958.25,High,NO
2907-ILJBN,FEMALE,0,YES,YES,11,0-1 year,20.6,233.9,Low,NO
6345-FZOQH,MALE,0,YES,NO,69,3+ years,19.9,1363.45,Low,NO
3376-BMGFE,FEMALE,0,NO,NO,4,0-1 year,70.9,273.0,High,YES
5997-OPVFA,MALE,0,YES,NO,72,3+ years,89.05,6254.45,High,NO
3445-HXXGF,MALE,1,YES,NO,58,3+ years,45.3,2651.2,Medium,YES
1159-WFSGR,FEMALE,0,YES,YES,16,1-3 years,20.4,321.4,Low,NO
7654-YWJUF,MALE,0,YES,NO,43,3+ years,84.25,3539.25,High,NO
1875-QIVME,FEMALE,0,YES,NO,2,0-1 year,104.4,242.8,High,YES
6727-IOTLZ,MALE,0,YES,NO,14,1-3 years,81.95,1181.75,High,NO
0691-JVSYA,FEMALE,0,YES,NO,53,3+ years,94.85,5000.2,High,YES
5918-VUKWP,FEMALE,0,NO,NO,32,1-3 years,20.55,654.55,Low,NO
1744-JHKYS,FEMALE,0,YES,NO,34,1-3 years,24.7,780.2,Low,NO
2656-FMOKZ,FEMALE,1,NO,NO,15,1-3 years,74.45,1145.7,High,YES
2070-FNEXE,FEMALE,1,NO,NO,7,0-1 year,76.45,503.6,High,YES
5947-SGKCL,FEMALE,0,YES,YES,15,1-3 years,105.35,1559.25,High,NO
3712-PKXZA,MALE,0,YES,NO,61,3+ years,20.55,1252.0,Low,NO
6317-YPKDH,FEMALE,0,NO,NO,1,0-1 year,29.95,29.95,Low,YES
6582-OIVSP,FEMALE,0,NO,NO,1,0-1 year,45.3,45.3,Medium,NO
9367-WXLCH,MALE,0,NO,NO,8,0-1 year,84.5,662.65,High,YES
5524-KHNJP,MALE,0,YES,YES,33,1-3 years,74.75,2453.3,High,NO
1918-ZBFQJ,FEMALE,0,NO,NO,13,1-3 years,79.25,1111.65,High,YES
1024-GUALD,FEMALE,0,YES,NO,1,0-1 year,24.8,24.8,Low,YES
4827-USJHP,MALE,0,NO,NO,20,1-3 years,51.8,1023.85,Medium,NO
8167-GJLRN,MALE,0,NO,NO,3,0-1 year,30.4,82.15,Medium,NO
0956-SYCWG,FEMALE,0,NO,NO,13,1-3 years,19.65,244.8,Low,NO
8017-UVSZU,FEMALE,0,YES,NO,40,3+ years,56.6,2379.1,Medium,NO
7100-FQPRV,MALE,0,YES,YES,43,3+ years,71.9,3173.35,High,NO
2472-OVKUP,MALE,0,YES,NO,6,0-1 year,91.0,531.0,High,YES
2984-RGEYA,FEMALE,0,YES,YES,69,3+ years,19.75,1375.4,Low,NO
9680-NIAUV,FEMALE,0,YES,YES,72,3+ years,109.7,8129.3,High,NO
2146-EGVDT,MALE,0,YES,YES,59,3+ years,19.3,1192.7,Low,NO
2604-IJPDU,FEMALE,0,YES,NO,20,1-3 years,96.55,1901.65,High,NO
9178-JHUVJ,MALE,0,YES,YES,24,1-3 years,24.1,587.4,Low,NO
6168-YBYNP,MALE,0,NO,NO,59,3+ years,111.35,6519.75,High,NO
7255-SSFBC,MALE,0,YES,YES,72,3+ years,112.25,8041.65,High,NO
3645-DEYGF,MALE,0,NO,YES,1,0-1 year,20.75,20.75,Low,NO
9323-HGFWY,FEMALE,0,YES,NO,27,1-3 years,101.9,2681.15,High,NO
8544-GOQSH,FEMALE,0,NO,NO,14,1-3 years,80.05,1112.3,High,NO
3363-DTIVD,MALE,0,YES,YES,71,3+ years,105.55,7405.5,High,NO
7018-WBJNK,MALE,0,NO,YES,13,1-3 years,78.3,1033.95,High,NO
9142-KZXOP,MALE,0,NO,NO,44,3+ years,68.85,2958.95,Medium,NO
7674-YTAFD,FEMALE,0,NO,NO,33,1-3 years,79.95,2684.85,High,NO
6348-SNFUS,MALE,0,YES,YES,72,3+ years,55.45,4179.2,Medium,NO
1285-OKIPP,MALE,0,NO,NO,1,0-1 year,79.9,79.9,High,YES
7825-ECJRF,FEMALE,0,NO,NO,19,1-3 years,106.6,1934.45,High,YES
1347-KTTTA,MALE,0,YES,NO,64,3+ years,102.45,6654.1,High,NO
7841-TZDMQ,MALE,0,NO,NO,2,0-1 year,46.0,84.5,Medium,YES
4195-NZGTA,FEMALE,0,NO,NO,1,0-1 year,25.25,25.25,Low,NO
7157-SMCFK,MALE,0,NO,YES,61,3+ years,19.75,1124.2,Low,NO
4709-LKHYG,FEMALE,0,YES,YES,29,1-3 years,20.0,540.05,Low,NO
2504-DSHIH,MALE,1,YES,NO,23,1-3 years,86.8,1975.85,High,NO
0699-NDKJM,FEMALE,0,YES,NO,57,3+ years,58.75,3437.45,Medium,NO
9286-BHDQG,MALE,0,YES,YES,72,3+ years,45.25,3139.8,Medium,NO
0230-WEQUW,MALE,0,YES,NO,66,3+ years,56.6,3789.2,Medium,NO
2040-LDIWQ,MALE,0,YES,YES,65,3+ years,84.2,5324.5,High,NO
6496-JDSSB,FEMALE,0,NO,NO,8,0-1 year,80.0,624.6,High,NO
9408-SSNVZ,FEMALE,0,NO,NO,4,0-1 year,70.15,268.35,High,YES
4443-EMBNA,FEMALE,0,YES,NO,71,3+ years,24.75,1836.9,Low,NO
6469-MRVET,MALE,0,YES,YES,1,0-1 year,20.2,20.2,Low,NO
0742-MOABM,MALE,0,YES,NO,4,0-1 year,50.05,179.35,Medium,YES
5961-VUSRV,FEMALE,0,NO,NO,12,1-3 years,19.35,219.35,Low,NO
6778-JFCMK,MALE,0,NO,NO,24,1-3 years,50.6,1288.75,Medium,NO
6341-JVQGF,FEMALE,0,YES,YES,31,1-3 years,81.15,2545.75,High,NO
2232-DMLXU,FEMALE,0,YES,NO,1,0-1 year,55.2,55.2,Medium,YES
4811-JBUVU,MALE,0,NO,NO,30,1-3 years,89.9,2723.15,High,NO
0945-TSONX,FEMALE,0,YES,YES,47,3+ years,85.3,4107.25,High,NO
2651-ZCBXV,MALE,0,NO,NO,54,3+ years,108.0,5760.65,High,NO
3316-UWXUY,MALE,0,NO,NO,50,3+ years,93.5,4747.5,High,NO
8937-RDTHP,MALE,0,NO,NO,1,0-1 year,84.6,84.6,High,YES
7083-MIOPC,FEMALE,0,NO,NO,72,3+ years,20.25,1566.9,Low,NO
1984-GPTEH,FEMALE,0,NO,NO,29,1-3 years,25.15,702.0,Low,NO
1251-KRREG,MALE,0,NO,NO,2,0-1 year,54.4,114.1,Medium,YES
0621-JFHOL,FEMALE,0,NO,NO,10,0-1 year,29.6,299.05,Low,NO
9903-LYSAB,MALE,0,YES,NO,18,1-3 years,73.15,1305.95,High,NO
0094-OIFMO,FEMALE,1,NO,NO,11,0-1 year,95.0,1120.3,High,YES
9227-UAQFT,MALE,0,NO,NO,16,1-3 years,19.75,284.35,Low,NO
7301-ABVAD,FEMALE,0,NO,NO,72,3+ years,86.6,6350.5,High,NO
6614-FHDBO,MALE,0,NO,NO,72,3+ years,109.2,7878.3,High,NO
7576-ASEJU,FEMALE,0,YES,YES,41,3+ years,74.7,3187.65,High,NO
9058-HRZSV,FEMALE,1,YES,NO,65,3+ years,94.4,6126.15,High,NO
4522-AKYLR,FEMALE,1,NO,NO,13,1-3 years,54.8,731.3,Medium,NO
0221-WMXNQ,MALE,1,NO,NO,4,0-1 year,75.35,273.4,High,NO
0303-UNCIP,MALE,0,NO,NO,41,3+ years,65.0,2531.8,Medium,NO
9947-OTFQU,MALE,1,NO,NO,15,1-3 years,74.4,1074.3,High,YES
0322-YINQP,MALE,0,NO,NO,1,0-1 year,48.55,48.55,Medium,YES
0959-WHOKV,MALE,0,NO,NO,42,3+ years,99.0,4298.45,High,NO
4075-JFPGR,FEMALE,0,YES,NO,51,3+ years,93.5,4619.55,High,NO
4629-NRXKX,FEMALE,0,YES,YES,2,0-1 year,70.4,147.15,High,YES
9514-JDSKI,MALE,1,YES,NO,1,0-1 year,40.2,40.2,Medium,YES
3282-ZISZV,MALE,0,NO,YES,32,1-3 years,83.7,2633.3,High,NO
3675-YDUPJ,MALE,0,NO,NO,10,0-1 year,19.85,193.05,Low,NO
4111-BNXIF,FEMALE,0,YES,YES,67,3+ years,59.55,4103.9,Medium,NO
7017-VFHAY,FEMALE,0,YES,YES,61,3+ years,115.1,7008.15,High,NO
6655-LHBYW,MALE,0,NO,NO,50,3+ years,114.35,5791.1,High,NO
4959-JOSRX,FEMALE,0,YES,NO,2,0-1 year,44.6,80.55,Medium,YES
5046-NUHWD,FEMALE,1,YES,NO,29,1-3 years,45.0,1228.65,Medium,NO
7273-TEFQD,MALE,1,NO,NO,3,0-1 year,41.15,132.2,Medium,YES
3606-TWKGI,MALE,1,NO,NO,13,1-3 years,106.9,1364.3,High,YES
7529-ZDFXI,MALE,1,YES,NO,57,3+ years,89.85,4925.35,High,NO
7605-BDWDC,FEMALE,0,NO,NO,31,1-3 years,49.85,1520.1,Medium,NO
1950-KSVVJ,FEMALE,0,YES,NO,45,3+ years,113.3,5032.25,High,NO
0123-CRBRT,FEMALE,0,YES,YES,61,3+ years,88.1,5526.75,High,NO
6292-TOSSS,MALE,0,NO,NO,50,3+ years,24.9,1195.25,Low,NO
3197-ARFOY,FEMALE,1,NO,NO,19,1-3 years,105.0,2007.25,High,NO
6323-AYBRX,MALE,0,NO,NO,59,3+ years,19.35,1099.6,Low,YES
7014-ZZXAW,FEMALE,0,YES,NO,71,3+ years,24.25,1732.95,Low,NO
4385-GZQXV,FEMALE,1,NO,NO,16,1-3 years,94.45,1511.2,High,YES
7633-MVPUY,MALE,0,YES,NO,57,3+ years,59.75,3450.15,Medium,NO
6366-ZGQGL,MALE,0,NO,NO,1,0-1 year,24.8,24.8,Low,YES
4716-HHKQH,MALE,1,YES,NO,20,1-3 years,107.05,2172.05,High,NO
5940-AHUHD,MALE,0,NO,NO,1,0-1 year,70.6,70.6,High,YES
6432-TWQLB,MALE,0,YES,NO,5,0-1 year,85.4,401.1,High,YES
4484-GLZOU,FEMALE,0,YES,NO,52,3+ years,105.05,5624.85,High,YES
3179-GBRWV,MALE,1,YES,NO,21,1-3 years,64.95,1339.8,Medium,NO
8645-KWHJO,MALE,0,NO,NO,14,1-3 years,55.0,771.95,Medium,NO
4130-MZLCC,FEMALE,0,NO,NO,5,0-1 year,50.55,244.75,Medium,NO
0314-TKOSI,FEMALE,0,NO,NO,6,0-1 year,55.15,322.9,Medium,NO
8229-MYEJZ,FEMALE,0,NO,NO,10,0-1 year,51.2,498.25,Medium,NO
2080-SRCDE,FEMALE,0,NO,YES,1,0-1 year,25.4,25.4,Low,NO
9577-WJVCQ,FEMALE,0,NO,NO,68,3+ years,54.45,3687.75,Medium,NO
9512-UIBFX,MALE,0,YES,YES,18,1-3 years,95.15,1779.95,High,YES
6202-DYYFX,FEMALE,0,NO,NO,22,1-3 years,76.0,1783.6,High,NO
3808-HFKDE,FEMALE,0,NO,NO,20,1-3 years,44.35,927.15,Medium,NO
5583-SXDAG,MALE,0,YES,NO,1,0-1 year,70.0,70.0,Medium,YES
3488-PGMQJ,MALE,1,NO,NO,8,0-1 year,74.5,606.55,High,YES
3580-REOAC,MALE,0,NO,NO,10,0-1 year,44.85,435.4,Medium,YES
7534-BFESC,MALE,1,NO,NO,24,1-3 years,76.1,1712.7,High,YES
3727-OWVYD,MALE,0,NO,NO,35,1-3 years,61.2,2021.2,Medium,NO
2294-SALNE,MALE,0,YES,YES,23,1-3 years,86.8,1940.8,High,NO
4847-TAJYI,FEMALE,1,NO,NO,6,0-1 year,89.35,567.8,High,NO
1563-IWQEX,FEMALE,0,NO,NO,12,1-3 years,19.7,220.35,Low,NO
8203-XJZRC,MALE,0,NO,NO,1,0-1 year,20.25,20.25,Low,NO
6556-DBKZF,FEMALE,0,YES,YES,71,3+ years,76.05,5436.45,High,NO
6851-WEFYX,MALE,1,YES,NO,35,1-3 years,100.8,3437.5,High,NO
2985-JUUBZ,MALE,0,YES,YES,40,3+ years,74.55,3015.75,High,NO
6390-DSAZX,FEMALE,0,NO,YES,1,0-1 year,73.6,73.6,High,YES
0895-LMRSF,MALE,0,NO,NO,23,1-3 years,64.9,1509.8,Medium,NO
8098-LLAZX,FEMALE,1,NO,NO,4,0-1 year,95.45,396.1,High,YES
8266-VBFQL,MALE,0,NO,NO,4,0-1 year,90.4,356.65,High,NO
8181-YHCMF,FEMALE,0,YES,YES,68,3+ years,60.3,4109.0,Medium,NO
2240-HSJQD,MALE,0,NO,YES,38,3+ years,81.85,3141.7,High,NO
1248-DYXUB,MALE,0,YES,YES,52,3+ years,24.8,1229.1,Low,NO
0265-EDXBD,MALE,1,YES,NO,32,1-3 years,74.9,2303.35,High,YES
4115-BNPJY,MALE,0,YES,YES,29,1-3 years,75.55,2054.4,High,NO
3167-SNQPL,MALE,1,YES,YES,38,3+ years,101.15,3741.85,High,NO
4091-TVOCN,MALE,0,NO,YES,48,3+ years,78.75,3682.45,High,NO
1098-TDVUQ,FEMALE,0,NO,NO,1,0-1 year,19.25,19.25,Low,NO
7277-OZCGZ,FEMALE,0,NO,NO,22,1-3 years,89.05,1886.25,High,NO
1557-EMYVT,FEMALE,0,NO,NO,43,3+ years,115.05,4895.1,High,NO
2799-ARNLO,FEMALE,1,YES,NO,5,0-1 year,69.35,341.6,Medium,NO
